Model,RMSE,MAE,R2
LinearRegression,9.186185167871535e-14,1.7203016788869262e-14,1.0
Ridge,2.616944378966165e-05,3.749875234526634e-06,0.9999999999989023
Lasso,0.20901578731637435,0.0299949275241542,0.9999299795581365
DecisionTree,5.238463515192217,0.3805,0.9560180466746397
RandomForest,3.587715240929804,0.20860499999999996,0.9793698399429218
